Description,Code,No_jobs,Median,change,Mean,change.1,10,20,25,30,40,60,70,75,80,90
   Cyber security professionals,2135,20,45384,0.4,49320,-0.1,x,32456,35333,38453,41891,49460,56809,x,x,x
   IT quality and testing professionals,2136,17,39309,0.9,40484,-3.9,x,28397,29308,31438,35954,41902,47343,x,x,x
   IT network professionals,2137,43,42554,9.0,44410,7.8,28835,34528,35444,37094,38980,45294,48492,50764,52570,x
   Information technology professionals n.e.c.,2139,88,42712,5.6,47608,5.0,16351,25741,28278,31598,36815,47247,56875,61813,67992,x
  Web and Multimedia Design Professionals,214,59,29555,,33141,14.6,19579,x,x,x,27223,31988,x,x,x,x
   Web design professionals,2141,x,40783,7.2,x,,x,x,x,x,34609,43503,x,x,x,x
   Graphic and multimedia designers,2142,x,27901,,29823,7.3,x,x,x,x,x,x,x,x,x,x
  Conservation and Environment Professionals,215,53,35039,7.2,37122,6.2,21977,25725,28232,30183,33051,37817,39884,41329,42702,x
   Conservation professionals,2151,13,32904,5.5,35684,13.2,x,24580,25524,28070,31106,37316,39597,x,x,x
   Environment professionals,2152,40,35545,8.3,37605,4.9,22444,27274,28425,30307,33742,37815,40646,41559,x,x
  Research and Development (R&D) and Other Research Professionals,216,78,46196,2.5,50805,0.7,x,x,35057,37720,41425,51050,57901,x,x,x
   Research and development (R&D) managers ,2161,66,48032,-0.1,53357,-1.3,x,x,x,38647,43783,54548,x,x,x,x
"   Other researchers, unspecified discipline",2162,13,38358,5.6,37646,0.2,x,x,x,32479,35400,40991,x,x,x,x
 Health professionals,22,1561,35572,4.8,37933,2.4,12541,22114,25132,27467,32061,39540,43460,46144,48771,57266
  Medical Practitioners,221,201,54346,-0.4,67675,0.8,x,33494,37318,40822,48619,60666,69824,76626,93576,x
   Generalist medical practitioners,2211,65,40886,-0.7,x,,x,x,x,x,x,44579,51293,x,x,x
   Specialist medical practitioners,2212,136,61672,-3.4,75334,-2.5,29953,40173,46002,50871,55688,70606,89410,101158,113791,x
  Therapy Professionals,222,149,34241,5.1,34439,4.9,18117,24688,26550,27728,31075,36937,40806,42264,44139,50638
   Physiotherapists,2221,57,36024,3.8,35348,4.9,18016,25472,27741,29431,33671,38537,42274,43869,45585,x
   Occupational therapists,2222,32,33172,8.2,32546,8.6,19825,24802,26513,27414,29843,35024,38149,40229,41117,x
   Speech and language therapists,2223,14,31932,2.8,33377,6.2,x,24514,26650,27590,28677,35474,38381,x,x,x
   Psychotherapists and cognitive behaviour therapists,2224,x,31407,-7.0,32601,10.2,x,x,x,x,x,36580,x,x,x,x
   Clinical psychologists,2225,11,37242,0.1,39746,3.5,x,x,29509,33032,34666,41571,x,x,x,x
   Other psychologists,2226,14,34790,6.8,37305,-5.2,x,24270,26034,26872,30050,37806,43889,x,x,x
   Therapy professionals n.e.c.,2229,15,28673,19.7,30550,13.1,x,x,23279,24505,27018,32021,35849,x,x,x
  Nursing Professionals,223,984,33195,4.9,32023,2.5,9307,18954,22260,25036,29754,36427,40350,41946,44170,49922
   Midwifery nurses,2231,45,33151,8.2,33047,11.1,14362,21213,24445,27448,31073,36490,39822,41844,43487,x
   Community nurses,2232,73,30670,8.1,29813,4.8,13848,19987,22386,23804,26753,33562,36395,38488,40711,x
   Specialist nurses,2233,55,40141,3.9,38480,3.2,23514,28631,31991,33850,36685,41737,44009,45841,47672,x
   Nurse practitioners,2234,77,37297,2.0,37353,3.2,19787,26084,27412,29933,33915,41085,44430,46800,48428,x
   Mental health nurses,2235,10,37916,12.2,36044,-2.0,x,x,x,25770,34689,41519,45302,x,x,x
   Children's nurses,2236,11,28872,,29952,,x,20173,20727,21931,25960,31481,x,x,x,x
   Other nursing professionals ,2237,711,32612,4.1,31079,1.3,7105,16733,20556,23556,28853,35641,39407,41226,43615,50022
  Veterinarians,224,16,46014,9.5,47062,12.3,x,35155,37228,38464,42681,49335,52238,x,x,x
   Veterinarians,2240,16,46014,9.5,47062,12.3,x,35155,37228,38464,42681,49335,52238,x,x,x
  Other Health Professionals,225,211,39494,3.7,38932,3.6,18728,25969,28094,30509,35177,42735,47099,48780,51043,57655
   Pharmacists,2251,48,39777,3.6,39336,3.1,19679,26131,27967,29838,35740,43580,47077,49297,52602,x
   Optometrists,2252,11,x,,28654,,x,x,x,x,x,x,x,x,x,x
   Dental practitioners,2253,x,x,,36165,-0.7,x,x,x,x,x,x,x,x,x,x
   Medical radiographers,2254,37,40619,5.6,39490,4.7,21179,29288,31065,32408,37487,42730,47000,47998,50020,x
   Paramedics,2255,43,47497,0.5,45793,-1.4,27824,34252,35655,37833,43132,50132,53342,54645,56433,x
   Podiatrists,2256,x,32275,5.3,32387,4.1,x,x,x,x,27479,x,x,x,x,x
   Other health professionals n.e.c.,2259,61,35575,8.8,36135,4.9,18048,24350,26111,27933,32448,39935,42413,44072,47061,x
 Teaching and other educational professionals,23,1499,38580,4.4,38554,3.2,16100,24797,27494,30021,34647,42144,45415,47679,50442,59170
  Teaching Professionals,231,1340,38194,3.6,37438,3.3,15928,24641,27399,29934,34430,41757,44809,46584,49137,56401
   Higher education teaching professionals,2311,217,42555,1.9,42901,1.2,10941,24282,27506,31808,37722,47522,53013,55579,59299,68411
   Further education teaching professionals,2312,75,35213,3.6,34095,4.3,x,20555,22765,25672,31376,39028,42709,44888,46609,x
   Secondary education teaching professionals,2313,485,40625,3.7,39462,2.4,20404,28103,30263,33121,37013,43117,46637,48400,50344,55890
   Primary education teaching professionals,2314,449,37523,5.7,36110,4.6,17801,25500,27638,30021,34184,40318,42818,44126,45519,51470
   Nursery education teaching professionals,2315,22,29605,6.2,30573,9.2,x,x,22981,25457,27502,31540,34709,x,x,x
   Special needs education teaching professionals,2316,34,29936,1.1,31139,3.2,13248,19105,20888,21884,25349,35129,41188,42855,43756,x
   Teachers of English as a foreign language,2317,x,x,,30425,14.2,x,x,x,x,x,35355,x,x,x,x
   Teaching professionals n.e.c.,2319,50,18851,2.9,19432,1.8,x,x,6613,7676,x,23744,27291,29866,33174,x
  Other Educational Professionals,232,160,42561,2.1,47930,2.6,17996,25696,28564,31079,37777,49411,57369,62816,67332,x
   Head teachers and principals,2321,51,65659,2.5,71282,6.6,43212,50106,53195,56419,60949,71197,74549,76832,81456,x
   Education managers ,2322,46,39918,3.3,42203,-4.9,22034,28139,30853,32801,36597,42593,48751,51970,55550,x
   Education advisers and school inspectors,2323,18,31791,7.3,34372,8.0,x,x,22778,25087,30263,37027,41196,x,x,x
   Early education and childcare services managers,2324,23,24440,8.7,23827,2.9,12309,14818,15661,17624,21010,26165,28342,29093,x,x
   Other educational professionals n.e.c,2329,22,39129,-1.3,41393,0.1,x,x,26348,28733,37284,43226,47930,x,x,x
" Business, media and public service professionals",24,1908,42002,5.4,47973,2.5,23137,28808,31253,33498,37800,46445,52136,55539,60000,73687
  Legal Professionals,241,174,41592,-1.0,55485,0.4,x,25341,27207,29997,35291,47233,56814,61020,x,x
   Barristers and judges,2411,15,45876,-0.9,45337,-11.3,x,24666,26884,29473,34921,52663,58004,x,x,x
   Solicitors and lawyers,2412,107,47632,3.8,64087,7.4,x,x,34918,37748,43812,55182,x,x,x,x
   Legal professionals n.e.c.,2419,51,28107,-2.4,40559,-11.5,17614,20813,21789,23023,25790,31248,35679,x,x,x
  Finance Professionals,242,303,40503,4.3,49125,-4.8,21985,27471,30242,32170,35983,45970,51869,54862,58150,x
   Chartered and certified accountants,2421,101,43591,6.6,46566,5.2,20556,27868,30758,32318,37400,48354,52986,55681,60860,x
   Finance and investment analysts and advisers,2422,176,38833,5.6,50619,-9.8,22516,27205,29407,31487,35493,44113,50047,53531,56679,x
   Taxation experts,2423,26,41332,-9.0,48983,-9.4,x,30639,32654,32901,37150,48794,56659,x,x,x
"  Business, Research and Administrative Professionals",243,496,44014,7.1,50331,8.0,25478,31040,33320,35578,39881,49558,54934,58698,62803,74238
   Management consultants and business analysts,2431,220,46627,10.6,53753,8.6,26990,31951,34997,36912,42322,51515,58238,61695,66256,76253
   Marketing and commercial managers,2432,96,44537,0.8,49800,4.0,x,x,34774,36861,40827,49888,56168,x,x,x
"   Actuaries, economists and statisticians",2433,25,45951,7.7,53304,9.3,x,34714,35562,37471,42661,51968,58968,x,x,x
   Business and related research professionals,2434,82,35660,3.9,40517,13.1,19961,26792,27927,29670,32740,37832,41673,42662,45335,x
   Professional/Chartered company secretaries ,2435,x,x,,x,,x,x,x,x,x,x,x,x,x,x
"   Business, research and administrative professionals n.e.c.",2439,69,50427,6.2,51717,3.2,29582,34630,37800,41046,45555,54270,58088,59957,62670,x
  Business and Financial Project Management Professionals,244,278,51834,6.5,55325,3.9,28308,35940,39351,41789,46275,57337,64477,68823,72646,x
   Business and financial project management professionals,2440,278,51834,6.5,55325,3.9,28308,35940,39351,41789,46275,57337,64477,68823,72646,x
"  Architects, Chartered Architectural Technologists, Planning Officers, Surveyors and Construction Professionals",245,205,41668,3.3,44487,-1.1,25522,30310,33055,34724,38523,45055,49145,52220,55206,x
   Architects,2451,35,43617,3.6,44315,-4.8,x,31793,34153,38056,40617,46798,49784,51686,x,x
"   Chartered architectural technologists, planning officers and consultants",2452,18,34075,0.4,37401,-0.7,x,25439,25974,27210,31334,39415,45433,x,x,x
