Description,Code,No_jobs,Median,change,Mean,change.1,10,20,25,30,40,60,70,75,80,90
      Chartered surveyors,2434,62,38855,2.9,41063,-1.4,25607,30000,31360,32126,35324,41582,x,x,x,x
      Chartered architectural technologists,2435,x,x,,39698,-16.1,x,x,x,x,x,x,x,x,x,x
      Construction project managers and related professionals,2436,24,38952,,43636,1.7,25299,28301,29543,31391,34992,43222,49286,52367,x,x
    Welfare professionals,244,125,36640,8.5,36254,5.4,23700,28800,30672,31745,34082,38561,40103,41897,43110,46387
      Social workers,2442,87,37890,4.1,38022,4.0,27583,32234,33231,34046,36197,39282,41604,42838,44378,x
      Probation officers,2443,10,37374,21.7,35332,9.3,x,x,x,31770,33815,38599,38902,x,x,x
      Clergy,2444,17,28089,4.5,29968,2.9,x,22331,23002,24125,25542,29146,31639,x,x,x
      Welfare professionals n.e.c.,2449,11,31208,-11.8,32961,-1.5,x,25045,26427,26603,28363,35367,41563,x,x,x
    Librarians and related professionals,245,13,28160,3.8,30946,3.9,x,22452,23563,24664,26314,30006,33307,x,x,x
      Librarians,2451,x,27599,-3.5,31837,-0.2,x,x,22171,22553,25492,29993,x,x,x,x
      Archivists and curators,2452,x,28234,6.3,29688,8.0,x,x,x,x,26525,29734,x,x,x,x
    Quality and regulatory professionals,246,151,41093,-0.2,52473,9.8,25356,30788,32737,34439,38084,45025,49843,52739,55465,x
      Quality control and planning engineers,2461,46,38999,0.5,39674,-1.1,24204,29314,31595,32891,34985,41272,43982,45770,48230,x
      Quality assurance and regulatory professionals,2462,95,44460,-2.4,60039,14.1,26348,30947,33251,35406,39136,48738,54236,57022,61629,x
      Environmental health professionals,2463,10,38140,3.6,39833,7.8,x,32259,34262,35706,36869,39687,42902,x,x,x
    Media professionals,247,66,35057,-9.1,40227,-9.4,x,26569,28502,30000,32098,38856,44389,48627,x,x
"      Journalists, newspaper and periodical editors",2471,19,35544,-8.9,41028,-10.1,x,25366,26626,29277,33352,37587,42490,x,x,x
      Public relations professionals,2472,20,30324,-9.6,33403,-19.2,21949,24689,26268,27448,28993,33037,35675,36678,x,x
      Advertising accounts managers and creative directors,2473,x,x,,44905,-1.3,x,x,x,x,x,x,x,x,x,x
Associate professional and technical occupations,3,3243,32926,-1.3,39748,0.6,21141,24535,25958,27318,30000,36448,40928,43495,46766,57791
"  Science, engineering and technology associate professionals",31,635,29586,-1.9,32006,-1.9,19701,22351,23825,25081,27232,32039,35000,37050,39675,46556
"    Science, engineering and production technicians",311,338,29000,-1.4,31496,-0.9,19311,21892,23281,24498,26585,31352,34589,36592,39159,46636
