Description,Code,No_jobs,Median,change,Mean,change.1,10,20,25,30,40,60,70,75,80,90
   Graphic and multimedia designers,2142,62,14.9,4.7,15.86,9.2,11.19,12.12,12.48,13.14,13.84,15.64,17.32,18.02,18.58,x
  Conservation and Environment Professionals,215,65,18.8,10.7,19.74,5.6,12.77,14.19,15.16,15.78,16.95,20.23,21.42,21.99,22.89,x
   Conservation professionals,2151,17,17.93,6.4,19.18,10.0,x,13.67,14.78,15.64,16.68,19.97,20.86,21.09,x,x
   Environment professionals,2152,48,19.12,12.0,19.93,4.7,13.05,14.34,15.12,15.77,17.06,20.24,21.73,22.4,23.43,x
  Research and Development (R&D) and Other Research Professionals,216,93,25.55,6.7,27.48,3.9,16.77,18.83,19.51,20.49,22.6,28.23,30.77,31.73,34.29,x
   Research and development (R&D) managers ,2161,76,26.01,1.5,28.29,1.3,16.74,19.15,20.29,21.36,23.77,29.19,31.36,33.13,34.96,x
"   Other researchers, unspecified discipline",2162,16,21.12,6.5,23.17,10.0,15.99,18.36,18.79,18.83,19.53,22.86,24.45,27.27,x,x
 Health professionals,22,1911,21.8,5.8,23.78,3.9,14.79,17.02,17.69,18.53,20.69,23.83,25.67,27.3,28.6,34.27
  Medical Practitioners,221,273,31.97,-1.4,35.44,1.2,18.4,22.63,24.45,25.49,28.9,37.24,44.8,47.95,50.47,58.6
   Generalist medical practitioners,2211,94,27.95,3.5,29.2,2.9,16.21,18.78,20.47,21.42,24.46,37.16,45.85,48.19,50,x
   Specialist medical practitioners,2212,179,33.07,-2.6,38.03,0.6,21.38,24.86,26.23,28.11,30.27,37.22,42.96,47.69,52.5,60.33
  Therapy Professionals,222,189,21.31,4.8,21.63,5.1,14,17.14,17.28,18.19,20.51,22.9,24.38,24.88,26.11,29.04
   Physiotherapists,2221,69,22.4,8.8,22.59,8.8,15.44,17.89,18.4,19.54,20.86,24.38,25.2,26.03,26.62,x
   Occupational therapists,2222,40,20.81,4.8,20.81,7.9,14.12,17.24,17.8,18.47,20.28,21.31,23.02,23.91,24.38,x
   Speech and language therapists,2223,16,22.4,9.4,22.61,10.7,17.23,18.35,19.51,20.43,20.88,24.38,24.49,25.48,x,x
   Psychotherapists and cognitive behaviour therapists,2224,8,22.31,5.2,21.73,7.1,x,x,20.29,21.3,21.31,23.08,x,x,x,x
   Clinical psychologists,2225,15,22.91,-3.7,23.76,0.6,x,17.24,17.37,18.19,21.19,24.82,27.93,28.72,x,x
   Other psychologists,2226,20,18.98,-9.4,21.04,-8.1,12.25,13.02,13.84,14.6,16.36,22.51,26.54,27.92,x,x
   Therapy professionals n.e.c.,2229,21,17.24,2.3,18.48,3.1,12.35,13.71,13.92,14.39,15.72,19.97,21.36,22.4,23.52,x
  Nursing Professionals,223,1177,20.76,5.2,21.32,6.9,14.61,16.83,17.23,17.79,19.35,21.96,23.91,24.73,26.24,29.45
   Midwifery nurses,2231,54,22.08,3.6,22.59,7.1,15.69,17.97,19.26,20.52,21.16,23.18,25.34,26.35,27.67,x
   Community nurses,2232,86,20.75,8.1,20.62,6.5,16.83,17.24,17.81,18.19,19.22,21.04,22.13,22.66,23.42,26.44
   Specialist nurses,2233,63,23.18,4.8,23.28,3.5,17.24,19.3,20.57,20.76,21.38,24.37,24.72,25.77,26.94,x
   Nurse practitioners,2234,92,21.4,4.4,21.68,3.0,13.56,16.72,17.24,17.79,20.74,22.75,24.92,26.55,27.83,29.12
   Mental health nurses,2235,13,20.94,2.2,22.19,10.5,x,17.38,18.16,19.3,20.75,22.4,24.23,24.44,x,x
   Children's nurses,2236,16,19.11,5.5,20.1,4.0,13.79,14.92,15.34,15.86,17.25,21.1,22.75,23.02,x,x
   Other nursing professionals ,2237,854,20.49,7.1,21.13,7.6,14.26,16.48,16.85,17.44,18.9,21.69,23.6,24.66,26.18,30.11
  Veterinarians,224,20,24.86,9.9,24.53,7.8,16.61,18.61,19.65,20.54,23.13,26.64,28.57,29.38,x,x
   Veterinarians,2240,20,24.86,9.9,24.53,7.8,16.61,18.61,19.65,20.54,23.13,26.64,28.57,29.38,x,x
  Other Health Professionals,225,252,23.34,5.4,22.96,4.8,14.48,17.28,18.4,19.89,21.33,24.66,25.94,26.58,27.93,31.68
   Pharmacists,2251,58,24.87,5.6,24.62,8.3,16.1,20.16,21.31,22.4,23.75,25.96,27.93,28.86,30.16,x
   Optometrists,2252,11,24.94,6.4,23.74,0.5,x,19.33,21.52,22.98,23.91,26.36,28.6,x,x,x
   Dental practitioners,2253,x,25.38,,25.22,0.6,x,x,x,19.01,19.88,27.17,x,x,x,x
   Medical radiographers,2254,41,22.93,4.4,23.06,4.7,16.66,18.62,19.28,20.56,21.37,24.38,24.99,25.59,26.16,x
   Paramedics,2255,51,24.6,-0.3,23.82,0.6,15.82,17.94,19.64,20.82,23.15,25.93,26.54,27.38,28.2,x
   Podiatrists,2256,7,22.38,9.2,23.42,13.7,x,x,x,20.76,21.09,24.38,x,x,x,x
   Other health professionals n.e.c.,2259,77,20.76,3.7,20.81,5.0,13.83,15.41,16.77,17.23,18.37,21.35,23.64,24.62,25.02,x
 Teaching and other educational professionals,23,1600,25.75,5.1,26.71,6.0,16.14,19.28,20.69,21.85,23.87,27.37,29.74,31,32.79,37.87
  Teaching Professionals,231,1428,25.76,5.1,26.34,6.6,16.52,19.79,21.05,22.13,23.98,27.27,29.36,30.65,32.26,36.64
   Higher education teaching professionals,2311,249,26.12,2.4,28.35,5.0,17.98,20.51,21.44,22.2,24.03,28.3,30.7,32.66,34.37,40.06
   Further education teaching professionals,2312,80,22.59,7.5,22.89,5.4,15.71,18.13,18.7,19.1,20.78,23.89,26.89,28.02,28.96,x
   Secondary education teaching professionals,2313,495,26.53,5.0,27.16,6.9,17.59,21.15,22.58,23.56,25.63,28.55,30.44,32.02,33.27,36.95
   Primary education teaching professionals,2314,470,25.72,6.1,26.23,8.0,16.74,20.58,21.87,22.85,24.28,26.72,28.77,30.34,31.94,36.22
   Nursery education teaching professionals,2315,25,20.14,8.2,21.25,8.8,12.57,14.4,16.43,17.54,18.82,22.86,24,24.85,x,x
   Special needs education teaching professionals,2316,39,23.67,8.0,22.97,7.1,13.94,15.8,16.8,17.94,20.78,25.64,27.01,28.48,29.6,x
   Teachers of English as a foreign language,2317,10,20.03,-1.6,20.34,-6.4,x,15.3,15.73,16.52,18.32,23.23,x,x,x,x
   Teaching professionals n.e.c.,2319,61,19.84,4.3,19.33,2.2,12.54,14.77,15.74,16.66,18.21,21.72,24.46,26.18,26.99,x
