Description,Code,No_jobs,Median,change,Mean,change.1,10,20,25,30,40,60,70,75,80,90
   Midwifery nurses,2231,83,20.34,,20,,11.2,14.16,16.09,17.21,19.21,21.42,22.83,23.61,24.6,27.38
   Community nurses,2232,95,18.3,,18.52,,14.13,15.77,16.04,16.61,17.3,19.37,19.78,20.28,20.95,22.79
   Specialist nurses,2233,62,20.92,,21.34,,16.04,18.41,19.38,19.38,19.99,22.76,23.4,23.69,24.49,x
   Nurse practitioners,2234,73,20.79,,21.23,,13,15.69,16.47,17.37,19.38,22.76,24.24,25.01,26.2,x
   Mental health nurses,2235,19,19.41,,20.86,,15.16,16.17,16.55,17.07,18.34,20.05,21.01,21.58,x,x
   Children's nurses,2236,21,18.6,,18.78,,12.03,14.22,15.65,15.79,16.99,19.99,21.51,22.35,x,x
   Other nursing professionals ,2237,651,18.89,,19.45,,13.59,15.62,15.81,16.44,17.6,19.89,21.26,22.25,23,26.35
  Veterinarians,224,27,20.81,,21.11,,14.91,16.48,16.93,18.79,19.71,22.54,24.39,25.38,26.24,x
   Veterinarians,2240,27,20.81,,21.11,,14.91,16.48,16.93,18.79,19.71,22.54,24.39,25.38,26.24,x
  Other Health Professionals,225,207,20.91,,20.88,,12.82,16.03,16.96,18.02,19.6,22.4,23.76,24.45,25.25,28.03
   Pharmacists,2251,67,21.79,,21.01,,12.58,16.22,17.3,18.21,20.09,22.7,23.96,24.68,25.54,x
   Optometrists,2252,12,22.79,,22.23,,x,18.8,19.16,19.9,22.02,23.96,24.51,x,x,x
   Dental practitioners,2253,x,21.13,,24.32,,x,x,x,18.28,20.13,23.58,x,x,x,x
   Medical radiographers,2254,31,20.75,,20.73,,14.53,16.84,17.31,18.15,19.47,22.57,23.19,24.45,25.17,x
   Paramedics,2255,26,21.98,,22.37,,15.17,18.52,19.55,19.99,21.2,24.17,24.46,25.18,25.64,x
   Podiatrists,2256,x,19.38,,19.76,,x,x,x,x,17.36,19.41,x,x,x,x
   Other health professionals n.e.c.,2259,58,19.38,,19.47,,12,13.28,14.55,15.73,17.27,20.36,21.97,22.76,23.42,x
 Teaching and other educational professionals,23,1788,23.91,,24.73,,15.06,17.76,19.02,20.17,22.27,25.51,27.57,28.92,30.52,36.05
  Teaching Professionals,231,1615,23.74,,24.26,,15.19,18.06,19.16,20.32,22.38,25.24,27.22,28.49,29.81,34.34
   Higher education teaching professionals,2311,204,26.44,,28.31,,16.2,19.51,20.83,22.17,24.2,28.08,30.64,33.02,36.28,42.77
   Further education teaching professionals,2312,105,20.17,,21.27,,14.54,16.67,17.34,17.89,18.84,21.81,24.19,25.57,26.64,x
   Secondary education teaching professionals,2313,636,24.57,,24.84,,16.25,19,20.2,21.66,23.28,26.3,28.27,29.14,30.42,34.32
   Primary education teaching professionals,2314,542,23.24,,23.46,,16.02,18.71,19.8,20.76,21.98,24.54,25.99,26.97,28.15,32.69
   Nursery education teaching professionals,2315,14,16.03,,19.11,,x,10.36,10.8,11.83,14.35,17.69,x,x,x,x
   Special needs education teaching professionals,2316,47,22.27,,21.2,,11.94,14.34,16.38,16.99,19.25,24.29,25.84,26.51,27.15,x
