Description,Code,No_jobs,Median,change,Mean,change.1,10,20,25,30,40,60,70,75,80,90
   IT managers,2132,219,46765,,51876,,26596,32769,35805,38440,42375,51368,58482,61752,66060,x
"   IT business analysts, architects and systems designers",2133,133,49354,,53469,,28246,35487,37496,39782,44018,54619,61192,63903,67920,x
   Programmers and software development professionals ,2134,288,41986,,46234,,25364,30488,32130,34548,38285,46530,51115,54027,57970,x
   Cyber security professionals,2135,12,48420,,48633,,x,29468,31596,33784,39338,52079,x,x,x,x
   IT quality and testing professionals,2136,11,37459,,37073,,x,x,25772,29053,32781,39415,x,x,x,x
   IT network professionals,2137,19,39028,,41476,,x,29471,30811,32946,36021,42394,45752,x,x,x
   Information technology professionals n.e.c.,2139,78,37606,,41992,,20095,27312,29305,30810,34284,41928,48032,52000,54866,x
  Web and Multimedia Design Professionals,214,44,25579,,29041,,17683,20407,20979,22050,24088,27815,30354,32056,x,x
   Web design professionals,2141,x,x,,31609,,x,x,x,x,x,x,x,x,x,x
   Graphic and multimedia designers,2142,37,25260,,28514,,17983,20452,21005,21919,24034,27299,29044,30597,x,x
  Conservation and Environment Professionals,215,53,31767,,34721,,20452,23081,24236,25884,29269,34241,38055,39585,43467,x
   Conservation professionals,2151,12,28660,,30948,,x,x,23074,23384,26674,31947,x,x,x,x
   Environment professionals,2152,41,32423,,35857,,20903,23481,24834,26634,30086,35479,39305,41847,44454,x
  Research and Development (R&D) and Other Research Professionals,216,81,41580,,48091,,24908,32027,34159,35572,38634,46787,52401,55152,59533,x
   Research and development (R&D) managers ,2161,62,46149,,51353,,24206,31996,34236,36689,40516,50712,55847,59543,x,x
"   Other researchers, unspecified discipline",2162,20,37391,,37948,,x,31868,32651,35010,35890,38869,40202,41215,x,x
 Health professionals,22,1407,33318,,36778,,14234,21337,23676,25834,29999,37213,41449,44177,46689,57184
  Medical Practitioners,221,204,56122,,65817,,22470,33363,38272,42956,49526,65656,76507,85371,97197,123323
   Generalist medical practitioners,2211,70,48959,,49497,,22128,30035,34494,38388,44752,52260,57070,61236,65665,x
   Specialist medical practitioners,2212,134,66763,,74375,,22720,34659,40940,45019,55634,77590,95828,102347,112936,135889
  Therapy Professionals,222,150,31494,,32313,,16785,21840,23344,24981,27686,33715,37607,39823,42180,47655
   Physiotherapists,2221,54,32712,,32386,,16638,23103,24353,25289,28682,34514,38398,40743,42779,x
   Occupational therapists,2222,33,28974,,29736,,17110,20771,22146,23975,26458,32225,35011,35996,38155,x
   Speech and language therapists,2223,15,28174,,28179,,x,x,20284,22630,25013,31565,33073,34423,x,x
   Psychotherapists and cognitive behaviour therapists,2224,x,28730,,29634,,x,x,22451,22854,25811,31701,x,x,x,x
   Clinical psychologists,2225,10,39570,,39827,,x,26871,30293,31403,32229,43521,x,x,x,x
   Other psychologists,2226,19,32652,,39137,,x,23359,25634,27221,28778,38335,43381,49991,x,x
   Therapy professionals n.e.c.,2229,12,30934,,29208,,x,x,21077,22604,25371,31365,x,x,x,x
  Nursing Professionals,223,857,30800,,30726,,11513,19723,21871,23836,27814,33844,37596,39379,41440,46980
   Midwifery nurses,2231,56,24757,,24816,,x,7539,x,14054,19834,29272,36339,38853,40932,x
   Community nurses,2232,86,26953,,26570,,11888,17145,19496,21193,24534,29366,32547,33719,35571,x
   Specialist nurses,2233,55,33946,,34315,,x,25250,27784,29435,32110,36424,39914,42274,44458,x
