SIC07,Description,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
71,Architectural and engineering activities,9867,10530,11075,11519,12852,13600,14885,14981,16183,17094,18421,18075,18416,17723,18565,20805,22080,23152,22807,23644,22962,23328,22334,23693,26841
72,Scientific research and development,5400,5916,5496,6232,7757,8188,9328,9871,9923,11197,11968,11417,13329,12424,11909,9816,10835,11760,12688,12684,15232,15597,17276,18432,20177
73,Advertising and market research,5811,6476,7342,7937,8575,10031,10660,11392,12835,12806,10920,10262,10789,11883,12792,14087,13902,17545,17043,17859,18298,18179,17407,19993,21575
74,"Other professional, scientific and technical activities",3731,3867,4314,4544,4867,5069,5356,5724,6084,6251,6245,6159,6107,6408,6306,7428,8219,8082,9089,9535,9182,10418,9220,10516,11184
75,Veterinary activities,994,1112,1225,1240,1265,1312,1419,1691,1792,1971,2097,2329,2471,2564,2687,2953,2771,2969,3312,3743,4224,4219,4328,5115,6107
77,Rental and leasing activities,9492,9883,10588,11547,12368,12585,12569,13724,13772,14501,13723,13499,13569,13671,13606,15556,16568,18066,18737,20515,21606,23138,21341,24025,27627
78,Employment activities,8896,9619,10659,11637,11834,13236,13826,14309,15091,16719,18227,16751,17399,18014,18996,21444,23703,25688,25289,26834,28243,29064,26731,28833,31810
79,Travel agency and tour operator activities,3253,3267,3368,3347,3512,3543,3558,3984,4219,4690,4911,4774,5132,5588,6480,6878,8341,9106,9985,9882,10328,10802,4609,5303,10408
80,Security and investigation activities,1598,1612,1784,1999,1985,2134,2161,2253,2353,2615,2609,2604,2514,2716,2843,2884,3132,3153,3137,3355,3660,3744,3573,3869,3994
81,Services to buildings and landscape activities,3837,3945,4061,4500,4780,4888,5615,5697,5908,6514,7487,7493,7972,8538,8604,9736,9567,10411,11471,12234,12496,13338,11329,13075,15532
82,Office administration and business support activities,7111,7026,7172,8409,9286,9443,9829,10130,10547,11499,12013,12069,12810,13295,15229,16883,18487,19264,20915,21601,22577,22962,21578,23828,23912
84,Public administration and defence,45360,47543,49569,52486,54749,59686,63132,68365,70998,72861,76017,80483,81801,81315,82055,81750,81880,83381,87595,91003,93654,98128,101287,106623,116185
85,Education,43573,46816,50585,55458,59112,62464,66846,71697,75566,80823,86537,90257,92262,94116,96567,97545,100869,102428,102233,104524,109131,115608,118368,123167,134213
86,Human health activities,34868,35634,38073,43626,47312,52533,58376,62945,66838,69787,71652,75097,77992,80613,83103,82408,85444,88389,92641,96287,99601,105506,112318,121232,124020
87,Residential care activities,7203,7677,8633,9178,9796,10439,11341,12402,13312,13583,14230,15110,15176,16233,16725,16653,17187,18055,19139,19038,19263,21226,22752,23582,21859
88,Social work activities,6568,7147,7589,8822,9820,11270,12074,12909,13476,14043,14354,14177,15794,16372,17524,19505,19853,21505,23299,24976,25807,26879,27218,30851,29803
90,"Creative, arts and entertainment activities",2932,3187,3699,3518,4053,3780,3869,4412,4865,5262,4925,4954,5183,5699,5849,6328,6108,6572,6682,7269,7729,8515,6169,7430,9701
91,"Libraries, archives, museums and other cultural activities",1053,1138,1293,1354,1452,1740,1823,1973,2031,1924,1957,2044,2075,1976,1988,2057,2033,2092,2181,2233,2371,2301,1936,2281,2537
92,Gambling and betting activities,2402,2476,2124,2422,2819,3690,4303,4498,4254,4487,4539,4177,3777,5158,4663,5520,6164,5665,4238,5427,5495,5743,4691,4862,5044
93,"Sports, amusement and recreation activities",3438,3739,4132,4748,5430,6553,7072,7570,8068,7459,8136,8104,8549,8927,9320,9691,10057,10470,11693,12059,12256,13335,9724,11703,13737
94,Activities of membership organisations,3714,3478,3683,3837,4392,4562,5123,5528,6021,6138,6304,6950,7312,7034,6974,7548,7672,7859,7666,8573,8608,9044,7991,8967,9511
95,"Repair of computers, personal and household goods",1292,1289,1346,1317,1455,1292,1522,1504,1659,1523,1709,1659,1772,2098,1951,2067,2528,2559,2934,2966,3098,2701,2438,2853,3250
96,Other personal service activities,8157,8460,9211,9817,10741,10831,11430,12024,12482,13559,14070,15000,15365,15001,15837,16459,17271,18246,19542,20971,22319,22977,19180,21026,25383
97,Activities of households ,726,781,944,973,844,735,807,981,942,833,903,810,1080,1077,1108,1188,1305,1276,1596,1613,1798,1959,1562,1506,1462
98,Activities of households ,726,781,944,973,844,735,807,981,942,833,903,810,1080,1077,1108,1188,1305,1276,1596,1613,1798,1959,1562,1506,1462
