Description,Code,Jobs,Median,change,Mean,change,10,20,25,30,40,60,70,75,80,90
INFORMATION AND COMMUNICATION ,J ,"1,106",22.39,5.8,25.87,6.4,13.26,15.34,16.54,17.89,19.74,25.34,29.36,31.65,34.23,42.76
Publishing activities ,58,91,19.49,5.5,22.5,-3.6,12.77,14.74,15.54,16.03,17.52,21.24,23.47,24.76,27.21,x
"Motion picture, video and television programme production, sound recording and music publishing activities ",59,51,20.21,15.8,27.37,28.1,12.3,13.59,14.86,16.07,18.19,23.37,27.37,29.25,33.2,x
Programming and broadcasting activities ,60,36,24.44,0.2,25.72,0.4,15.08,18.29,18.76,19.5,22.95,26.94,29.1,30.16,31.27,x
Telecommunications ,61,240,21.12,3.8,23.82,4.1,13.56,15.8,17,18,19.24,23.17,25.64,27.58,30.67,36.59
"Computer programming, consultancy and related activities ",62,624,23.81,5.9,26.84,6.1,13.29,15.36,16.77,18.1,20.44,27.13,31.14,33.33,35.8,43.87
Information service activities ,63,63,23.96,24.4,27.97,17.1,12.92,14.94,16.23,16.99,20.82,28.61,34.87,37.83,40.63,x
FINANCIAL AND INSURANCE ACTIVITIES ,K ,949,25.19,5.8,32.55,3.8,13.28,15.67,16.71,18.33,21.26,29.91,35.59,39.34,43.96,58.33
"Financial service activities, except insurance and pension funding ",64,500,28.55,8.2,36.25,5.3,14.06,16.77,18.63,20.17,23.77,34,40.35,44.47,49.39,64.66
"Insurance, reinsurance and pension funding, except compulsory social security ",65,91,23.66,6.9,27.96,7.3,12.91,14.9,15.87,16.55,19.32,27.52,32.81,35.6,37.64,x
Activities auxiliary to financial services and insurance activities ,66,358,21.96,3.8,28.64,1.5,12.63,14.56,15.67,16.56,19.16,25.59,30.12,32.92,37.47,50.96
REAL ESTATE ACTIVITIES ,L ,340,17,9.2,20.18,6.7,11.41,12.49,13.14,13.8,15.33,18.69,20.96,22.22,24.41,31.75
Real estate activities ,68,340,17,9.2,20.18,6.7,11.41,12.49,13.14,13.8,15.33,18.69,20.96,22.22,24.41,31.75
"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES ",M ,"1,868",21.12,6,25.48,5.5,12.42,14.35,15.32,16.29,18.51,23.99,27.88,30.39,33.28,43.2
Legal and accounting activities ,69,581,20.96,2.7,27.03,4.1,11.98,13.69,14.73,15.53,18,24.37,28.75,31.75,35.58,48.48
Activities of head offices; management consultancy activities ,70,334,22.24,7.9,27.23,6.7,12.78,14.62,15.78,16.87,19.55,25.58,30.61,33.2,36.95,47.13
Architectural and engineering activities; technical testing and analysis ,71,489,20.52,6.9,23.4,6.2,12.77,14.83,15.71,16.57,18.45,22.79,26.31,28.38,30.77,37.56
Scientific research and development ,72,193,24.53,2.9,27.85,4.3,14.34,16.64,17.75,18.93,21.36,26.66,29.79,31.91,34.77,43.44
Advertising and market research ,73,115,20.2,8.3,24.21,9.5,12.69,13.96,14.68,15.49,17.88,23,26.35,28.78,34.45,x
"Other professional, scientific and technical activities ",74,114,18.75,8.4,21.72,6.3,12.26,13.61,14.37,15.07,16.45,21.23,23.94,25.55,28.04,x
Veterinary activities ,75,40,15.12,4.9,18.45,10,10.69,11.21,11.7,12.32,13.99,17.79,21.37,22.83,24.75,x
ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES ,N ,"1,159",14.6,5.3,18.07,5.9,10.82,11.5,11.89,12.26,13.29,16.34,18.56,20.36,22.77,30.77
Rental and leasing activities ,77,146,15.94,6.8,18.52,4.8,10.94,11.9,12.44,13.05,14.43,17.56,20.34,21.75,23.07,30.54
Employment activities ,78,349,13.76,4.7,16.51,4.8,10.67,11.34,11.69,11.98,12.82,15.19,16.71,17.54,19.53,25.29
"Travel agency, tour operator and other reservation service and related activities ",79,43,17.47,14,20.47,0.3,11.75,12.83,13.29,14.05,16.03,19.28,21.57,23.88,25.86,x
Security and investigation activities ,80,75,12.78,8.1,14.74,6.8,10.74,11.22,11.5,11.64,12.22,13.25,14.35,15.25,16.19,x
Services to buildings and landscape activities ,81,234,13.46,6.6,16.24,5.7,10.54,11.05,11.43,11.88,12.55,14.89,16.81,18.03,19.64,24.59
"Office administrative, office support and other business support activities ",82,313,17.12,9.5,21.68,7.3,10.98,11.99,12.71,13.4,14.89,19.64,23.96,25.71,28.75,38.31
PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY ,O ,"1,311",18.54,3.8,20.05,4.7,12.48,14.28,14.69,15.48,17.07,20.62,22.14,23.31,24.63,28.98
Public administration and defence; compulsory social security ,84,"1,311",18.54,3.8,20.05,4.7,12.48,14.28,14.69,15.48,17.07,20.62,22.14,23.31,24.63,28.98
EDUCATION ,P ,"2,511",20.28,4.1,21.81,5.3,12.02,13.8,14.7,15.77,17.95,22.89,25.54,26.75,28.56,33.63
Education ,85,"2,511",20.28,4.1,21.81,5.3,12.02,13.8,14.7,15.77,17.95,22.89,25.54,26.75,28.56,33.63
HUMAN HEALTH AND SOCIAL WORK ACTIVITIES ,Q ,"2,790",16.84,5.3,19.1,5.1,11.03,12,12.53,13.4,14.86,18.78,21.33,22.81,24.51,28.91
Human health activities ,86,"1,929",18.46,4.2,20.85,3.9,11.84,13.42,13.88,14.92,16.84,20.95,23.17,24.55,26.03,30.83
Residential care activities ,87,442,12.53,6,14.83,4.4,10.56,10.92,11.12,11.33,11.87,13.56,15.33,16.68,18.49,22.61
Social work activities without accommodation ,88,418,13.79,7.9,15.85,7.4,10.69,11.16,11.5,11.91,12.73,15.05,16.83,18.11,19.53,24.38
"ARTS, ENTERTAINMENT AND RECREATION ",R,287,14.95,7.5,20.56,14.6,10.95,11.91,12.36,12.82,13.83,16.43,18.66,20.4,22.53,29.63
"Creative, arts and entertainment activities ",90,40,18.3,6.8,23.1,0.9,11.74,13.16,13.41,14.29,15.8,21.42,22.84,23.25,x,x
"Libraries, archives, museums and other cultural activities ",91,63,15.69,1.8,17.35,3.8,11.27,12.6,13.32,13.8,14.72,16.96,18,19.07,20.91,x
Gambling and betting activities ,92,28,13.83,6.7,17.34,0.9,11.25,11.97,12.19,12.46,13.19,14.92,16.81,x,x,x
Sports activities and amusement and recreation activities ,93,155,14.38,9.2,21.77,25.3,10.76,11.48,11.85,12.32,13.28,15.67,18.14,19.83,21.89,28.71
OTHER SERVICE ACTIVITIES ,S ,302,15.53,8.3,18.59,5.7,10.92,11.87,12.41,12.92,14.14,17.35,19.86,21.14,23.31,30.47
Activities of membership organisations ,94,167,16.7,4.6,19.75,1.4,11.5,12.76,13.23,13.92,15.14,18.47,20.84,22.32,25.18,x
Repair of computers and personal and household goods ,95,35,18.29,17.3,21.89,16.6,11.39,12.78,13.51,14.38,15.82,22.06,25.43,27.51,30.22,x
Other personal service activities ,96,100,13.42,10.9,15.69,8.4,10.42,11,11.25,11.58,12.29,14.44,15.96,17.31,18.96,x
ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS; UNDIFFERENTIATED GOODS-AND SERVICES-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN USE ,T ,21,12.33,2.3,13,-1.6,10.46,11,11.05,11.41,11.83,12.72,13.58,14.56,15,x
Activities of households as employers of domestic personnel ,97,21,12.33,2.3,13,-1.6,10.46,11,11.05,11.41,11.83,12.72,13.58,14.56,15,x
Undifferentiated goods- and services-producing activities of private households for own use ,98,:,,,,,,,,,,,,,,
ACTIVITIES OF EXTRATERRITORIAL ORGANISATIONS AND BODIES ,U ,x,x,,20.26,8.8,x,x,x,x,x,x,x,x,x,x
Activities of extraterritorial organisations and bodies ,99,x,x,,20.26,8.8,x,x,x,x,x,x,x,x,x,x
NOT CLASSIFIED,xx,x,14.12,21.8,17.38,28.3,x,x,12.09,12.25,x,x,x,x,x,x
