Description,Code,Jobs,Median,change,Mean,change,10,20,25,30,40,60,70,75,80,90
Accommodation ,55,124,"26,637",11.0,"31,637",9.1,"17,394","20,347","21,354","22,272","24,164","29,268","32,418","34,927",x,x
Food and beverage service activities ,56,282,"25,048",9.6,"28,104",10.3,"15,090","18,439","19,856","20,930","22,981","27,304","29,835","31,682","34,475","42,521"
INFORMATION AND COMMUNICATION ,J ,875,"44,733",5.7,"52,897",6.0,"25,000","30,033","32,733","34,705","39,580","50,591","58,772","63,301","69,185","88,309"
Publishing activities ,58,73,"38,081",5.1,"45,159",-0.3,"24,569","27,993","30,116","31,823","34,144","42,658","46,538","49,415","54,688",x
"Motion picture, video and television programme production, sound recording and music publishing activities ",59,x,x,,x,,"23,065","28,024",x,x,x,x,x,x,x,x
Programming and broadcasting activities ,60,31,"47,889",7.8,"50,572",7.2,"29,082","35,314","39,812","42,084","45,236","49,946","54,197","56,525",x,x
Telecommunications ,61,210,"44,496",7.0,"51,916",8.0,"26,930","32,722","34,377","36,038","40,287","49,597","57,350","62,372","68,056",x
"Computer programming, consultancy and related activities ",62,477,"46,244",4.7,"53,723",3.2,"24,468","29,879","32,692","35,054","40,112","53,096","61,193","65,402","71,013",x
Information service activities ,63,47,"47,220",32.5,"55,026",20.1,"23,919","29,090","30,335","31,987","37,245","54,149",x,x,x,x
FINANCIAL AND INSURANCE ACTIVITIES ,K ,802,"48,197",7.0,"75,550",-0.1,"24,795","29,348","31,563","34,604","40,644","56,963","69,373","78,768","90,020","128,792"
"Financial service activities, except insurance and pension funding ",64,430,"54,052",8.9,"82,635",4.5,"26,026","30,905","34,667","37,710","45,492","64,957","80,491","90,903","99,754","142,989"
"Insurance, reinsurance and pension funding, except compulsory social security ",65,78,"43,361",2.3,"54,482",4.9,"23,884","28,587","30,470","32,000","37,932","51,542","60,965","64,414","69,341",x
Activities auxiliary to financial services and insurance activities ,66,294,"41,861",2.2,"70,797",-8.8,"23,766","27,688","29,667","31,780","36,404","49,339","59,004","65,928","74,707",x
REAL ESTATE ACTIVITIES ,L ,279,"32,675",8.2,"39,870",2.1,"20,983","24,197","25,654","27,184","30,000","35,829","40,450","43,918","47,731","62,575"
Real estate activities ,68,279,"32,675",8.2,"39,870",2.1,"20,983","24,197","25,654","27,184","30,000","35,829","40,450","43,918","47,731","62,575"
"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES ",M ,"1,463","41,453",5.6,"51,954",4.2,"23,367","27,606","29,880","31,808","36,363","47,213","54,629","59,462","66,088","87,362"
Legal and accounting activities ,69,436,"39,552",2.1,"53,468",3.6,"21,317","25,406","27,261","29,250","33,584","46,041","55,001","61,684","69,292",x
Activities of head offices; management consultancy activities ,70,254,"44,889",8.6,"59,064",6.9,"24,374","28,829","30,883","33,854","38,343","50,827","61,450","68,735","77,020",x
Architectural and engineering activities; technical testing and analysis ,71,403,"40,885",5.9,"46,809",3.7,"24,386","29,190","31,046","33,000","37,011","45,901","51,908","55,369","59,951","74,871"
Scientific research and development ,72,159,"46,658",1.7,"58,893",4.4,"27,470","32,714","34,780","37,566","41,392","52,454","58,240","62,280","67,819",x
Advertising and market research ,73,88,"40,000",19.5,"47,883",8.4,"24,109","28,014","29,457","30,859","34,600","46,182","53,000","56,145","65,027",x
"Other professional, scientific and technical activities ",74,89,"38,000",5.6,"45,092",0.6,"24,000","26,974","28,629","30,476","33,493","43,210","48,833","53,485","58,461",x
Veterinary activities ,75,35,"30,673",1.7,"36,766",8.9,"19,316","21,298","22,641","23,238","26,212","36,899","44,697","46,065","51,726",x
ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES ,N ,831,"30,999",6.2,"38,359",7.6,"19,171","22,384","23,741","24,979","27,816","35,000","40,512","43,877","48,023","64,930"
Rental and leasing activities ,77,115,"35,066",8.3,"41,025",6.0,"22,698","25,301","27,065","28,387","31,937","38,935","43,168","46,350","50,276",x
Employment activities ,78,188,"28,065",1.7,"33,627",4.3,"12,823","18,926","20,638","22,366","25,032","31,517","36,941","40,466","44,679",x
"Travel agency, tour operator and other reservation service and related activities ",79,36,"38,019",26.3,"43,056",9.7,"22,792","25,009","27,958","30,273","33,226","42,381","47,801","50,410",x,x
Security and investigation activities ,80,58,"28,881",6.1,"31,971",1.8,x,"22,854","23,629","24,642","26,614","31,055","33,841","35,345",x,x
Services to buildings and landscape activities ,81,190,"28,624",3.9,"33,688",5.4,"19,379","21,996","23,063","24,007","26,387","31,236","35,606","38,369","41,574",x
"Office administrative, office support and other business support activities ",82,244,"34,373",12.3,"45,203",11.8,"19,977","23,134","24,664","26,351","29,820","40,000","47,040","52,104","57,943",x
PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY ,O ,"1,127","36,804",2.3,"39,168",2.6,"23,799","27,530","28,896","30,487","33,625","40,650","44,607","46,680","48,946","56,165"
Public administration and defence; compulsory social security ,84,"1,127","36,804",2.3,"39,168",2.6,"23,799","27,530","28,896","30,487","33,625","40,650","44,607","46,680","48,946","56,165"
EDUCATION ,P ,"2,262","36,362",4.6,"38,153",4.2,"20,825","25,029","26,954","28,810","32,637","40,095","43,616","45,776","48,429","56,497"
Education ,85,"2,262","36,362",4.6,"38,153",4.2,"20,825","25,029","26,954","28,810","32,637","40,095","43,616","45,776","48,429","56,497"
HUMAN HEALTH AND SOCIAL WORK ACTIVITIES ,Q ,"2,239","32,194",7.0,"36,466",4.5,"19,471","22,797","23,999","25,377","28,250","36,129","41,003","43,385","46,645","55,049"
Human health activities ,86,"1,541","35,413",5.2,"39,682",3.4,"21,438","24,506","26,172","27,629","31,755","39,795","43,658","46,429","48,913","57,662"
Residential care activities ,87,349,"25,593",6.6,"28,989",4.4,"16,832","19,383","20,461","21,451","23,481","27,976","32,171","34,480","37,856","46,733"
Social work activities without accommodation ,88,348,"26,774",8.3,"29,735",7.0,"17,231","20,365","21,251","22,498","24,518","29,386","32,245","34,579","36,896","45,608"
"ARTS, ENTERTAINMENT AND RECREATION ",R,232,"30,000",5.9,"43,478",19.0,x,"22,675","23,958","25,461","27,589","33,464","37,754","40,942","45,000",x
"Creative, arts and entertainment activities ",90,33,"37,399",3.0,"48,649",-4.2,"23,531","25,976","26,838","29,023","34,014","40,660","45,688",x,x,x
"Libraries, archives, museums and other cultural activities ",91,54,"30,121",2.8,"33,108",1.7,"20,849","23,153","25,138","26,483","27,969","32,589","34,750","38,636","41,138",x
Gambling and betting activities ,92,x,x,,"35,953",1.9,x,x,x,x,x,x,x,x,x,x
Sports activities and amusement and recreation activities ,93,120,"28,778",9.3,x,,x,x,"22,631","23,667","26,094","32,006",x,x,x,x
OTHER SERVICE ACTIVITIES ,S ,249,"29,692",4.5,"35,533",3.2,"19,291","22,473","24,150","25,510","27,490","33,617","38,286","41,049","45,513","57,359"
Activities of membership organisations ,94,136,"31,376",3.0,"36,814",-0.6,"20,970","24,881","26,443","27,008","28,238","35,241","39,858","42,017","47,131",x
Repair of computers and personal and household goods ,95,29,"35,779",,"42,048",7.7,"21,609","23,649","25,004","27,282","30,855","40,620","50,770","54,983",x,x
Other personal service activities ,96,83,"26,567",8.3,"31,185",7.9,"16,503","19,760","20,993","21,981","24,511","29,212","33,218","35,478","37,548",x
ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS; UNDIFFERENTIATED GOODS-AND SERVICES-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN USE ,T ,16,"25,085",-3.8,"25,872",-8.9,x,"17,835","18,667","20,179","23,138","27,386","30,863","31,478",x,x
Activities of households as employers of domestic personnel ,97,16,"25,085",-3.8,"25,872",-8.9,x,"17,835","18,667","20,179","23,138","27,386","30,863","31,478",x,x
Undifferentiated goods- and services-producing activities of private households for own use ,98,:,,,,,,,,,,,,,,
ACTIVITIES OF EXTRATERRITORIAL ORGANISATIONS AND BODIES ,U ,x,x,,"36,072",0.2,x,x,x,x,x,x,x,x,x,x
Activities of extraterritorial organisations and bodies ,99,x,x,,"36,072",0.2,x,x,x,x,x,x,x,x,x,x
NOT CLASSIFIED,,x,x,,"40,064",23.9,x,x,x,x,x,x,x,x,x,x
