Description,Code,Jobs,Median,Change,Mean,Change,10,20,25,30,40,60,70,75,80,90
Accommodation ,55,287,9.00,-0.8,11.00,-4.8,6.58,7.31,7.78,8.19,8.72,9.66,10.61,11.40,12.27,15.49
Food and beverage service activities ,56,791,8.72,2.5,10.46,-0.6,6.13,6.72,7.00,7.41,8.21,8.79,9.34,9.82,10.31,13.31
INFORMATION AND COMMUNICATION ,J ,"1,031",20.44,6.4,24.30,5.7,10.54,13.13,14.35,15.37,17.84,23.27,26.73,29.18,31.94,41.91
Publishing activities ,58,88,16.73,-4.8,22.07,4.8,9.64,11.87,12.88,13.68,14.97,19.60,22.48,24.64,27.15,x
"Motion picture, video and television programme production, sound recording and music publishing activities ",59,53,16.72,15.0,20.51,5.4,9.32,11.38,11.94,12.92,14.55,19.15,23.79,25.86,27.87,x
Programming and broadcasting activities ,60,48,24.59,8.1,27.60,-11.3,15.35,17.76,19.48,20.50,22.76,26.34,28.87,30.68,32.83,x
Telecommunications ,61,211,20.74,13.0,23.15,10.2,11.17,13.28,14.62,15.96,17.95,22.68,25.72,27.61,30.08,37.16
"Computer programming, consultancy and related activities ",62,578,20.70,0.0,25.04,3.2,10.53,13.29,14.70,15.64,17.97,24.00,27.98,30.63,33.64,43.43
Information service activities ,63,54,20.18,7.2,25.24,8.7,9.67,12.04,13.23,13.86,17.67,22.82,27.58,30.26,37.68,x
FINANCIAL AND INSURANCE ACTIVITIES ,K ,"1,010",20.38,-0.5,28.18,-1.0,10.67,12.47,13.50,14.46,17.22,24.55,30.49,34.42,38.53,51.84
"Financial service activities, except insurance and pension funding ",64,550,21.34,-3.7,29.31,-5.0,10.96,12.78,13.83,15.00,18.17,26.26,32.19,36.43,40.24,52.24
"Insurance, reinsurance and pension funding, except compulsory social security ",65,123,20.08,6.5,24.92,3.3,10.56,12.01,12.97,14.06,17.43,23.71,28.40,30.48,34.45,x
Activities auxiliary to financial services and insurance activities ,66,337,19.36,-1.3,27.53,1.3,10.29,12.20,13.10,14.01,16.10,23.00,28.55,33.51,37.33,51.98
REAL ESTATE ACTIVITIES ,L ,380,14.12,2.2,17.61,3.4,9.03,10.24,10.94,11.59,12.78,15.70,17.84,19.25,21.73,29.98
Real estate activities ,68,380,14.12,2.2,17.61,3.4,9.03,10.24,10.94,11.59,12.78,15.70,17.84,19.25,21.73,29.98
"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES ",M ,"1,865",17.37,-1.5,22.17,-0.6,9.49,11.11,12.07,13.08,15.09,20.29,23.87,26.13,28.86,39.36
Legal and accounting activities ,69,652,17.34,-1.0,23.47,2.0,9.31,10.95,11.88,12.76,15.02,20.79,25.39,27.52,31.75,43.77
Activities of head offices; management consultancy activities ,70,350,19.10,7.0,24.52,4.4,9.94,11.50,12.45,13.42,15.90,21.89,25.90,28.62,32.64,43.67
Architectural and engineering activities; technical testing and analysis ,71,433,17.37,-5.6,20.60,-4.2,9.97,11.85,12.78,13.80,15.36,19.86,22.53,24.78,27.49,34.53
Scientific research and development ,72,145,20.67,1.0,24.06,0.2,11.89,14.42,15.33,16.54,18.86,22.89,25.61,27.42,30.67,x
Advertising and market research ,73,101,15.33,-8.5,19.28,-15.6,9.19,10.22,10.74,11.52,13.29,16.87,19.99,21.50,23.60,x
"Other professional, scientific and technical activities ",74,128,14.97,-1.9,18.21,-5.4,8.72,10.03,10.88,11.61,13.14,17.04,19.71,21.63,23.96,x
Veterinary activities ,75,55,11.83,-3.1,13.77,-8.4,7.05,8.40,8.73,8.99,9.94,13.43,15.35,16.58,19.21,x
ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES ,N ,"1,470",11.36,5.2,14.88,3.1,8.56,8.85,9.13,9.44,10.30,12.95,15.01,16.43,18.40,25.38
Rental and leasing activities ,77,135,12.47,-2.1,15.11,-4.6,8.30,9.29,9.80,10.32,11.23,13.86,15.78,17.16,19.31,x
Employment activities ,78,411,11.94,10.0,14.57,6.8,8.72,9.16,9.45,9.80,10.65,13.36,15.36,16.85,18.85,26.03
"Travel agency, tour operator and other reservation service and related activities ",79,68,11.45,-17.5,14.48,-17.4,8.16,x,8.93,8.96,9.77,13.35,15.33,15.99,19.29,x
Security and investigation activities ,80,86,11.07,10.4,13.17,9.4,8.71,9.00,9.23,9.59,10.29,12.07,13.08,13.73,15.29,x
Services to buildings and landscape activities ,81,402,9.96,7.9,12.40,0.5,7.34,8.72,8.72,8.76,9.21,10.75,12.09,13.24,14.62,18.99
"Office administrative, office support and other business support activities ",82,368,13.05,2.7,18.00,2.5,8.72,9.30,9.64,10.12,11.39,15.26,18.14,19.84,22.22,32.45
PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY ,O ,"1,427",16.19,0.4,18.01,1.6,10.47,11.82,12.66,13.32,14.57,18.28,20.04,20.99,22.19,26.74
Public administration and defence; compulsory social security ,84,"1,427",16.19,0.4,18.01,1.6,10.47,11.82,12.66,13.32,14.57,18.28,20.04,20.99,22.19,26.74
EDUCATION ,P ,"3,953",16.04,2.3,18.73,2.0,9.38,10.20,10.79,11.41,13.55,18.95,22.13,23.53,25.07,30.19
Education ,85,"3,953",16.04,2.3,18.73,2.0,9.38,10.20,10.79,11.41,13.55,18.95,22.13,23.53,25.07,30.19
HUMAN HEALTH AND SOCIAL WORK ACTIVITIES ,Q ,"4,007",13.73,2.9,16.65,1.5,8.98,9.76,10.12,10.78,12.05,16.03,18.45,19.71,21.23,26.04
Human health activities ,86,"2,591",16.21,2.2,18.86,1.0,9.89,10.96,11.75,12.55,14.37,18.40,20.30,21.63,23.00,28.27
Residential care activities ,87,693,10.14,9.0,12.44,6.9,8.72,8.94,9.08,9.25,9.62,10.97,12.33,13.28,14.87,19.16
Social work activities without accommodation ,88,723,10.73,3.0,12.70,-1.3,7.76,8.78,9.00,9.25,9.86,11.86,13.26,14.22,15.59,19.72
"ARTS, ENTERTAINMENT AND RECREATION ",R,517,11.11,5.3,16.11,4.0,7.00,8.47,8.74,9.19,10.00,12.61,14.51,15.89,17.69,23.33
"Creative, arts and entertainment activities ",90,60,14.30,1.7,17.90,-14.9,8.69,9.78,10.59,11.38,12.68,17.05,19.15,20.00,21.35,x
"Libraries, archives, museums and other cultural activities ",91,72,12.88,1.6,15.24,1.3,8.64,9.31,9.94,10.48,11.50,14.10,15.62,16.85,18.38,x
Gambling and betting activities ,92,48,10.41,7.8,13.35,6.2,8.21,8.99,9.30,9.48,9.82,11.25,12.22,12.91,x,x
Sports activities and amusement and recreation activities ,93,337,10.30,2.1,16.47,6.9,6.62,7.85,8.36,8.73,9.47,11.82,13.65,14.90,16.43,22.85
OTHER SERVICE ACTIVITIES ,S ,485,11.97,3.9,14.99,0.7,7.35,8.72,8.97,9.34,10.44,13.33,15.30,16.74,18.94,25.04
Activities of membership organisations ,94,239,13.53,2.0,17.44,2.1,8.79,9.85,10.36,10.99,12.33,15.12,18.12,19.68,21.40,27.36
Repair of computers and personal and household goods ,95,37,14.29,-4.8,16.36,-7.4,8.21,9.24,10.38,11.26,12.51,15.78,17.22,18.46,x,x
Other personal service activities ,96,209,9.55,-0.1,12.12,0.2,6.61,7.50,8.19,8.41,8.81,10.50,12.05,13.03,14.25,19.54
ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS; UNDIFFERENTIATED GOODS-AND SERVICES-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN USE ,T ,85,10.00,0.0,11.63,4.6,8.72,x,9.00,9.24,9.71,10.58,11.62,12.00,12.50,14.93
Activities of households as employers of domestic personnel ,97,85,10.00,0.0,11.63,4.6,8.72,x,9.00,9.24,9.71,10.58,11.62,12.00,12.50,14.93
Undifferentiated goods- and services-producing activities of private households for own use ,98,:,,,,,,,,,,,,,,
ACTIVITIES OF EXTRATERRITORIAL ORGANISATIONS AND BODIES ,U ,x,15.66,-9.6,17.79,-3.6,x,x,x,x,x,x,x,x,x,x
Activities of extraterritorial organisations and bodies ,99,x,15.66,-9.6,17.79,-3.6,x,x,x,x,x,x,x,x,x,x
NOT CLASSIFIED,,x,x,,x,,x,x,x,x,x,x,x,x,x,x
